id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
16308005,Beautiful Room,36607755,Eixample,la Sagrada Família,41.40387727,2.180956598,Private room,40,32,365
16308030,Nice Room in Sagrada Familia,36607755,Eixample,la Sagrada Família,41.40305973,2.180793219,Private room,23,32,365
16308087,"Shared 6 beds dorm in Gracia, near Park Güell",7778897,Gràcia,la Salut,41.41157882,2.157052444,Shared room,30,1,335
16308292,Room with a double bed close to Arc de Triomf,1506503,Eixample,el Fort Pienc,41.39602354,2.179439722,Private room,45,2,89
16308473,Big Shinny Room,36607755,Ciutat Vella,el Barri Gòtic,41.38113249,2.176068003,Private room,48,32,365
16308789,Amazing Room in Barcelona,36607755,Ciutat Vella,el Barri Gòtic,41.38162483,2.176567752,Private room,30,32,365
16309219,ESPECTACULAR  habitación/ centro BCN/ 100 m  FIRA,2745577,Eixample,Sant Antoni,41.3764332,2.153310515,Private room,50,3,354
16309630,CITY CENTER FLAT WITH VIEW TERRACE,2565810,Sants-Montjuïc,el Poble Sec,41.37332775,2.173768845,Entire home/apt,60,32,342
16310328,Modern Barcelona Room,36607755,Ciutat Vella,el Barri Gòtic,41.38184754,2.175287543,Private room,29,32,365
16310439,"Ático central, nuevísimo y con vistas despejadas!",1817722,Eixample,l'Antiga Esquerra de l'Eixample,41.38282494,2.158406481,Entire home/apt,55,31,310
16318599,habitación en les corts,62644704,Les Corts,les Corts,41.38702786,2.139082868,Private room,25,3,125
16319373,★Bright Double Room 5 Minute walk to sea★,51205938,Sant Martí,el Parc i la Llacuna del Poblenou,41.39464705,2.187639076,Private room,49,1,319
16321609,★Double.Private Bathroom.A/C.Near beach & Center★,51205938,Sant Martí,la Vila Olímpica del Poblenou,41.38798039,2.196752762,Private room,49,1,298
16331344,Double room with private bathroom,27604634,Horta-Guinardó,la Font d'en Fargues,41.42483411,2.163931897,Private room,30,2,0
16331775,"Room ""A""",106907544,Eixample,la Nova Esquerra de l'Eixample,41.38245325,2.149012032,Private room,29,2,0
16332132,Charming place in Barcelona,3197354,Eixample,Sant Antoni,41.37579531,2.166499019,Private room,95,3,89
16332914,"Room ""B""",106907544,Eixample,la Nova Esquerra de l'Eixample,41.38228494,2.149956839,Private room,38,2,0
16333847,"Room ""C""",106907544,Eixample,la Nova Esquerra de l'Eixample,41.38290131,2.149423028,Private room,45,2,0
16342064,Reina Cristina New 3 - Sea views- 2 Bedrooms,3775349,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38216896,2.183749987,Entire home/apt,120,32,357
16343201,The Green House Barcelona,50291804,Eixample,la Nova Esquerra de l'Eixample,41.3829078,2.152620716,Entire home/apt,80,31,172
16344869,"Music VII, Friendly Rentals",102947901,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38749213,2.176957429,Entire home/apt,105,1,276
16346711,APARTMENT TERRAZA BARCELONA PARKING,58996772,Sant Andreu,la Sagrera,41.42104121,2.188356574,Entire home/apt,50,32,342
16347842,Private Room Between  Barceloneta / Borne,5323645,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38358201,2.185012313,Private room,53,2,32
16350839,Double king size room close to Paseo de Gracia,107052215,Eixample,la Dreta de l'Eixample,41.39071088,2.170856418,Private room,30,2,0
16351058,Double cozy room in Barcelona centre,107052215,Eixample,la Dreta de l'Eixample,41.39226469,2.168894256,Private room,26,1,0
16351351,Single room with balcony,37423760,Sants-Montjuïc,el Poble Sec,41.37196527,2.155731183,Private room,40,1,179
16357633,Room with a balcony in Gràcia.,26689772,Gràcia,la Vila de Gràcia,41.40802045,2.15551587,Private room,34,4,0
16358075,Spacious flat well located for your holidays,3744544,Eixample,la Nova Esquerra de l'Eixample,41.37772111,2.150998601,Entire home/apt,132,3,60
16358772,"Traditional flat in Poble Sec, near ramblas",3399123,Sants-Montjuïc,el Poble Sec,41.37175091,2.165857649,Entire home/apt,150,2,358
16358966,Cozy room in the centre of Barcelona,17079785,Eixample,l'Antiga Esquerra de l'Eixample,41.38551299,2.156832668,Private room,50,4,120
16359822,Centric comfortable double room next Arc de triomf,20466668,Eixample,el Fort Pienc,41.39468281,2.178660301,Private room,49,2,82
16365444,Awesome Accommodation Barcelona,49894730,Sants-Montjuïc,el Poble Sec,41.37244317,2.168056126,Private room,139,3,327
16366615,Rooftop w/ terrace in the heart of Gràcia,107183252,Gràcia,la Vila de Gràcia,41.40047482,2.160654207,Entire home/apt,55,2,350
16370700,**ROOM IN BARCELONA CENTRE**,107220506,Eixample,l'Antiga Esquerra de l'Eixample,41.38493764,2.157487101,Private room,30,1,179
16370980,#3 Ático obra nueva con vistas 360º de Barcelona,96016691,Gràcia,Vallcarca i els Penitents,41.41862894,2.136632156,Entire home/apt,60,32,156
16371377,#1 Maravilloso dúplex rehabilitado en Barcelona,96016691,Gràcia,Vallcarca i els Penitents,41.4190711,2.138512338,Entire home/apt,72,32,221
16372883,HUGE SUITE AT GOTIC QUARTER,73077305,Ciutat Vella,el Barri Gòtic,41.37920728,2.178291134,Private room,79,4,155
16373625,Large room with city view close to the beach,105955867,Sant Martí,el Besòs i el Maresme,41.4176235,2.209230917,Private room,25,7,0
16374861,AN ADVENTURE IN BARCELONA 2,106292646,Sants-Montjuïc,la Bordeta,41.3712028,2.137575774,Private room,22,1,45
16375323,Nice Loft in Barcelona,23226762,Eixample,l'Antiga Esquerra de l'Eixample,41.39130553,2.155993493,Entire home/apt,60,31,310
